iter	Passed	Remaining
0	3	361
1	7	343
2	9	321
3	11	284
4	14	277
5	17	268
6	20	270
7	22	263
8	26	271
9	29	262
10	31	253
11	33	245
12	37	248
13	41	255
14	44	249
15	46	242
16	48	237
17	52	238
18	56	240
19	58	234
20	61	229
21	63	225
22	66	223
23	70	223
24	72	218
25	74	213
26	77	208
27	80	206
28	82	202
29	85	200
30	87	195
31	90	191
32	92	187
33	94	183
34	97	180
35	100	179
36	102	175
37	105	171
38	107	167
39	110	165
40	113	163
41	114	157
42	116	154
43	118	150
44	120	147
45	123	144
46	126	142
47	129	140
48	131	136
49	133	133
50	135	130
51	138	127
52	142	126
53	144	122
54	145	119
55	147	116
56	150	113
57	153	110
58	156	109
59	159	106
60	162	103
61	164	100
62	168	98
63	171	96
64	174	93
65	176	91
66	179	88
67	181	85
68	185	83
69	187	80
70	189	77
71	191	74
72	193	71
73	196	69
74	199	66
75	202	63
76	204	60
77	206	58
78	209	55
79	211	52
80	215	50
81	217	47
82	219	44
83	221	42
84	224	39
85	227	37
86	230	34
87	232	31
88	235	29
89	237	26
90	239	23
91	243	21
92	246	18
93	248	15
94	250	13
95	252	10
96	255	7
97	258	5
98	261	2
99	263	0
