iter	Passed	Remaining
0	153	153133
1	156	77963
2	161	53595
3	164	40857
4	166	33216
5	169	28102
6	174	24694
7	177	22015
8	180	19850
9	183	18151
10	186	16751
11	191	15747
12	194	14732
13	196	13865
14	199	13117
15	205	12639
16	208	12059
17	211	11546
18	214	11082
19	219	10757
20	222	10368
21	225	10035
22	230	9804
23	235	9580
24	238	9302
25	241	9040
26	244	8799
27	247	8606
28	251	8414
29	254	8227
30	257	8048
31	260	7878
32	265	7782
33	268	7641
34	271	7495
35	275	7366
36	280	7297
37	283	7179
38	286	7060
39	289	6949
40	294	6887
41	297	6782
42	300	6679
43	302	6581
44	306	6501
45	310	6437
46	313	6353
47	316	6271
48	319	6195
49	324	6167
50	328	6104
51	331	6036
52	334	5969
53	339	5946
54	342	5883
55	345	5823
56	348	5762
57	354	5749
58	357	5698
59	360	5641
60	362	5585
61	366	5552
62	370	5508
63	373	5455
64	375	5405
65	378	5355
66	383	5345
67	386	5302
68	389	5260
69	392	5219
70	399	5225
71	402	5188
72	405	5152
73	408	5114
74	413	5095
75	416	5064
76	421	5053
77	428	5060
78	431	5029
79	434	4993
80	437	4960
81	441	4944
82	443	4903
83	448	4885
84	451	4856
85	455	4843
86	459	4820
87	462	4792
88	465	4767
89	468	4741
90	475	4748
91	478	4724
92	483	4712
93	489	4713
94	492	4695
95	496	4677
96	503	4690
97	507	4671
98	510	4644
99	515	4638
100	518	4613
101	525	4624
102	529	4609
103	533	4598
104	542	4620
105	545	4598
106	548	4577
107	551	4553
108	557	4558
109	560	4532
110	562	4507
111	572	4542
112	575	4519
113	578	4494
114	580	4470
115	586	4472
116	588	4444
117	591	4420
118	593	4397
119	597	4379
120	601	4370
121	603	4345
122	606	4322
123	608	4300
124	613	4291
125	616	4277
126	619	4255
127	621	4235
128	625	4222
129	629	4210
130	632	4192
131	634	4175
132	638	4161
133	642	4151
134	644	4132
135	647	4114
136	650	4096
137	653	4082
138	656	4066
139	659	4048
140	661	4031
141	663	4008
142	666	3991
143	671	3992
144	674	3975
145	676	3958
146	679	3940
147	681	3923
148	686	3921
149	689	3905
150	691	3889
151	694	3874
152	697	3859
153	701	3852
154	704	3842
155	707	3828
156	710	3816
157	715	3814
158	718	3800
159	721	3785
160	722	3766
